Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
30,Washington Wizards,66,11,55,3173,110.5,119.4,-9,65.4,2.04,19.7,23.7,67.7,45.4,13.4,53.8,56.8,103.38,45.3,"6,824"
29,Utah Jazz,65,28,37,3145,115.7,119.1,-3.5,65.9,1.81,19.3,33.2,72.1,52.6,15.3,54.3,58.2,100.69,48.6,"6,607"
28,Detroit Pistons,65,12,53,3135,110.7,118.6,-7.9,63,1.7,18.6,28.7,73.2,50.6,15.3,53.4,56.9,101.04,45.5,"6,597"
26,Charlotte Hornets,66,17,49,3178,108.5,118.6,-10.1,61.2,1.78,18.1,26,71.3,47.9,14.1,52.6,55.7,98.39,44.7,"6,518"
27,Atlanta Hawks,65,29,36,3140,116.9,118.6,-1.7,60.2,1.94,18,31.4,70.6,50.2,13.1,53.7,57.6,101.48,48.4,"6,636"
25,Indiana Pacers,67,37,30,3221,120,118.4,1.6,65.7,2.32,20.9,28.1,70,49,12.9,57.8,60.6,102.47,51.2,"6,878"
24,Toronto Raptors,66,23,43,3193,113.3,117.4,-4,68.2,2.19,20.4,28.3,69.7,48.8,13.3,54,57,99.89,48.6,"6,644"
23,San Antonio Spurs,66,14,52,3178,109.7,117.2,-7.4,71,2,20.5,27,71.3,48.8,14.6,53.3,56.4,102.01,47.6,"6,755"
22,Dallas Mavericks,67,38,29,3216,118,116.8,1.2,58.8,2.05,18.3,26.1,69.9,48.1,12.3,56.5,59.6,100.78,50.1,"6,756"
21,Portland Trail Blazers,66,19,47,3208,108.7,116.6,-8,58.2,1.52,16.6,31.7,68.9,49.3,15.3,50.7,54.5,97.94,43.8,"6,543"
20,Sacramento Kings,65,38,27,3150,117.1,116,1.1,65,2.16,20.1,28.1,74.6,50.7,13.2,56.5,59,100.2,49.5,"6,573"
19,Brooklyn Nets,66,26,40,3183,113.7,115.8,-2.1,64.2,2.06,19,29,71.6,49.7,13,53.5,56.5,97.89,48.6,"6,492"
18,Chicago Bulls,67,32,35,3271,113.4,115.7,-2.3,59.4,2.01,18,29,71.5,49.9,12.5,53,56.6,96.87,48.7,"6,607"
17,Los Angeles Lakers,67,36,31,3241,114.9,115.4,-0.5,65.3,2.08,20.1,24.1,72.1,49.2,13.4,56.4,59.8,101.13,51.4,"6,830"
16,Milwaukee Bucks,67,43,24,3231,118.5,115.3,3.2,61,2.09,18.9,25.3,73.1,49.9,12.4,57,60.5,101.15,51.4,"6,810"
15,Golden State Warriors,65,34,31,3150,116.6,115.2,1.3,66.5,2,19.8,31.8,72.5,52,14.3,55.2,58.3,100.4,50.5,"6,594"
14,LA Clippers,65,42,23,3125,119.1,114.7,4.4,60.5,1.99,18.9,28.7,70.3,50.3,13.2,56.7,60.4,98.08,52.4,"6,388"
13,Phoenix Suns,66,38,28,3188,117,114.5,2.5,62.3,1.78,19,29.7,70.8,51.3,14.9,56.2,60.2,99.33,52.6,"6,594"
12,Philadelphia 76ers,66,36,30,3178,116.7,114.3,2.4,59.1,2.08,17.8,29.4,69.9,49.2,12,53,57.5,98.42,50.2,"6,514"
11,Memphis Grizzlies,67,23,44,3231,106.8,113.3,-6.4,64.9,1.64,18,28,70.5,48.6,15.3,51.3,54.7,98.56,46.1,"6,629"
10,Denver Nuggets,66,46,20,3173,117.7,113,4.7,66.3,2.32,20.7,30.2,71.9,51.5,12.9,56,58.8,97.44,52.9,"6,438"
9,Miami Heat,65,35,30,3125,113.1,112.7,0.4,64.9,2.01,19,26.5,72.9,49.7,13.2,53.7,57.7,97.21,50.2,"6,328"
8,Houston Rockets,66,31,35,3193,112.6,112.3,0.4,59.6,1.9,17.7,29.1,72.7,50.7,13,52.6,56.2,99.62,50,"6,632"
7,New York Knicks,66,39,27,3168,116.6,112.2,4.4,58.3,1.78,17.5,33.4,73.3,52.9,13.9,53.5,57,96.28,51.4,"6,349"
6,New Orleans Pelicans,65,39,26,3125,116.9,111.8,5.1,63.1,2.04,19.3,28.7,72,50.8,13.4,55.8,59.1,99.22,52.6,"6,454"
5,Oklahoma City Thunder,66,46,20,3188,119,111.5,7.6,60.2,2.16,19.3,24.8,68.9,47.9,12.3,57.5,61.1,100.83,53.8,"6,696"
4,Orlando Magic,66,38,28,3188,112.8,111.3,1.5,60.5,1.65,17.9,30.1,73.4,51.6,15.1,54,57.6,97.57,50.9,"6,478"
3,Cleveland Cavaliers,66,42,24,3193,115.2,110.8,4.4,66,2.08,19.9,27.8,72.4,50.6,13.5,55.7,58.6,98,52.9,"6,517"
2,Boston Celtics,66,52,14,3193,121.9,110.4,11.4,60.6,2.19,19.1,28.6,72.7,51.7,12.2,57.7,60.8,98.47,55.4,"6,547"
1,Minnesota Timberwolves,66,45,21,3193,114.4,108.3,6.1,63.8,1.82,19.1,28.2,72.7,51.4,14.6,55.7,59.3,97.96,54.4,"6,529"
