,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
13,10,Giannis Antetokounmpo,PF,29,MIL,64,64,35.0,11.4,18.6,0.616,0.5,1.8,0.292,10.9,16.8,0.65,0.63,7.4,11.2,0.665,2.5,8.7,11.2,6.4,1.2,1.0,3.4,2.9,30.8,antetgi01
14,11,Thanasis Antetokounmpo,PF,31,MIL,28,0,4.8,0.5,0.9,0.5,0.0,0.0,0.0,0.5,0.9,0.52,0.5,0.0,0.1,0.0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.8,0.9,antetth01
52,37,Malik Beasley,SG,27,MIL,64,64,29.7,4.1,9.0,0.456,2.9,6.7,0.432,1.2,2.3,0.527,0.617,0.3,0.4,0.643,0.6,3.2,3.8,1.4,0.8,0.1,0.7,2.0,11.4,beaslma01
53,38,MarJon Beauchamp,SF,23,MIL,45,1,13.1,1.6,3.4,0.477,0.6,1.6,0.394,1.0,1.9,0.548,0.568,0.4,0.6,0.679,0.5,1.6,2.1,0.7,0.3,0.1,0.6,1.2,4.3,beaucma01
60,41,Patrick Beverley,PG,35,MIL,15,2,19.1,1.9,5.1,0.368,1.0,2.7,0.366,0.9,2.3,0.371,0.467,0.7,0.9,0.769,0.7,2.5,3.1,2.1,0.9,0.5,0.7,2.0,5.4,beverpa01
75,51,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,boldema01
133,102,Pat Connaughton,SF,31,MIL,61,2,21.8,2.0,4.4,0.457,1.2,3.1,0.378,0.8,1.3,0.646,0.59,0.5,0.7,0.75,0.6,2.6,3.2,1.9,0.5,0.2,0.6,1.2,5.7,connapa01
140,107,Jae Crowder,PF,33,MIL,36,20,23.8,2.2,5.3,0.421,1.2,3.3,0.353,1.1,2.0,0.535,0.532,0.5,0.7,0.692,0.6,2.9,3.4,1.4,0.8,0.2,0.4,1.7,6.1,crowdja01
209,158,Danilo Gallinari,SF,35,MIL,11,0,8.5,0.6,2.0,0.318,0.1,1.0,0.091,0.5,1.0,0.545,0.341,0.8,0.9,0.9,0.4,0.5,0.8,0.7,0.2,0.0,0.4,0.8,2.2,gallida01
233,178,A.J. Green,SG,24,MIL,44,0,10.1,1.5,3.5,0.426,1.2,3.0,0.406,0.3,0.5,0.545,0.6,0.3,0.3,0.929,0.1,1.0,1.2,0.6,0.1,0.0,0.2,0.9,4.5,greenaj01
299,236,Andre Jackson Jr.,SG,22,MIL,49,8,10.4,1.0,1.8,0.528,0.3,0.8,0.375,0.7,1.0,0.653,0.612,0.2,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.7,2.4,jacksan01
359,291,Damian Lillard,PG,33,MIL,62,62,35.0,7.4,17.4,0.424,3.0,8.6,0.352,4.4,8.8,0.494,0.51,6.6,7.1,0.925,0.5,3.8,4.4,6.9,1.0,0.2,2.5,1.8,24.3,lillada01
363,295,Chris Livingston,SF,20,MIL,16,0,4.3,0.4,1.0,0.438,0.1,0.2,0.333,0.4,0.8,0.462,0.469,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.0,0.3,0.7,1.1,livinch01
368,298,Brook Lopez,C,35,MIL,64,64,31.2,4.6,9.7,0.477,1.8,5.2,0.356,2.8,4.5,0.615,0.572,1.4,1.6,0.829,1.5,3.9,5.3,1.7,0.6,2.6,0.9,2.4,12.5,lopezbr01
369,299,Robin Lopez,C,35,MIL,16,2,4.1,0.4,1.2,0.368,0.1,0.5,0.25,0.3,0.7,0.455,0.421,0.1,0.1,1.0,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1,lopezro01
417,333,Khris Middleton,SF,32,MIL,43,43,26.3,5.6,11.6,0.487,1.7,4.5,0.378,3.9,7.1,0.556,0.56,1.8,2.2,0.832,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.4,14.8,middlkh01
485,384,Cameron Payne,PG,29,MIL,47,2,14.9,2.1,4.7,0.455,1.1,2.8,0.397,1.0,1.9,0.538,0.572,0.8,0.9,0.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2,payneca01
506,400,Bobby Portis,PF,28,MIL,67,1,24.0,5.3,10.7,0.5,1.1,3.0,0.378,4.2,7.7,0.548,0.553,1.3,1.7,0.793,1.6,5.5,7.0,1.2,0.7,0.4,1.0,2.3,13.1,portibo01
650,520,TyTy Washington Jr.,PG,22,MIL,5,0,4.2,0.2,1.4,0.143,0.2,0.6,0.333,0.0,0.8,0.0,0.214,0.0,0.0,,0.0,0.2,0.2,0.2,0.4,0.0,0.4,0.0,0.6,washity02
665,533,Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,0.4,0.0,0.7,0.0,0.7,1.0,0.667,0.4,0.7,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,wiggili01



,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
9,6,Grayson Allen,SG,28,PHO,60,60,33.7,4.4,8.7,0.504,2.7,5.6,0.479,1.7,3.0,0.549,0.66,1.7,1.9,0.887,0.6,3.3,3.9,3.0,0.9,0.7,1.3,2.2,13.1,allengr01
22,17,Udoka Azubuike,C,24,PHO,14,0,7.6,1.1,1.6,0.727,0.0,0.0,,1.1,1.6,0.727,0.727,0.2,0.8,0.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5,azubuud01
45,33,Keita Bates-Diop,SF,28,PHO,39,8,15.3,1.6,3.8,0.427,0.5,1.6,0.313,1.1,2.2,0.512,0.493,0.7,0.9,0.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5,bateske01
51,36,Bradley Beal,SG,30,PHO,37,37,32.8,7.3,14.6,0.498,1.7,4.5,0.38,5.6,10.2,0.551,0.556,2.4,3.0,0.793,0.9,3.2,4.1,4.6,1.0,0.3,2.5,2.6,18.7,bealbr01
73,50,Bol Bol,PF,24,PHO,28,0,11.3,2.5,3.9,0.627,0.4,1.2,0.364,2.0,2.8,0.74,0.682,0.3,0.4,0.7,1.0,2.5,3.5,0.4,0.2,0.6,0.4,1.1,5.6,bolbo01
77,52,Devin Booker,PG,27,PHO,52,52,35.8,9.6,19.5,0.494,2.2,5.8,0.37,7.5,13.7,0.546,0.549,6.1,6.9,0.882,0.8,3.8,4.6,6.8,0.9,0.4,2.5,3.0,27.4,bookede01
170,133,Kevin Durant,PF,35,PHO,59,59,37.2,10.3,19.5,0.528,2.2,5.3,0.424,8.1,14.3,0.567,0.585,5.5,6.4,0.852,0.5,6.1,6.6,5.4,0.9,1.3,3.3,1.8,28.3,duranke01
177,140,Drew Eubanks,C,26,PHO,60,4,15.7,2.1,3.4,0.621,0.1,0.1,1.0,2.1,3.4,0.616,0.629,1.0,1.3,0.763,1.4,2.9,4.3,0.9,0.4,0.8,0.9,1.5,5.3,eubandr01
227,173,Jordan Goodwin,PG,25,PHO,40,0,14.0,1.9,4.8,0.389,0.6,2.0,0.288,1.3,2.8,0.46,0.448,0.6,0.7,0.862,1.0,1.9,2.9,2.0,0.6,0.2,0.7,1.1,5.0,goodwjo01
230,175,Eric Gordon,SG,35,PHO,53,24,29.5,4.4,9.8,0.446,2.4,6.2,0.38,2.0,3.6,0.56,0.566,0.9,1.1,0.793,0.3,1.8,2.0,2.2,0.9,0.5,1.2,1.2,12.0,gordoer01
349,284,Saben Lee,PG,24,PHO,21,0,8.5,0.9,2.5,0.34,0.1,0.8,0.125,0.8,1.8,0.432,0.358,1.4,1.9,0.744,0.4,1.0,1.5,1.4,0.3,0.1,0.4,0.6,3.2,leesa01
360,292,Nassir Little,SF,23,PHO,35,2,12.3,1.4,3.1,0.454,0.5,1.7,0.311,0.9,1.3,0.638,0.542,0.5,0.6,0.85,0.4,1.7,2.1,0.5,0.3,0.3,0.4,1.1,3.8,littlna01
378,304,Théo Maledon,PG,22,PHO,4,0,3.3,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.8,0.8,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.8,0.8,1.3,maledth01
413,331,Chimezie Metu,C,26,PHO,37,5,12.1,1.8,3.5,0.508,0.4,1.4,0.294,1.4,2.1,0.646,0.565,1.0,1.2,0.884,0.6,2.3,3.0,0.5,0.5,0.2,0.7,1.1,5.0,metuch01
466,372,Jusuf Nurkić,C,29,PHO,62,62,27.3,4.5,8.6,0.521,0.3,1.4,0.241,4.2,7.2,0.576,0.541,2.2,3.5,0.642,2.9,8.0,10.9,3.8,1.0,1.1,2.3,3.4,11.6,nurkiju01
472,374,Royce O'Neale,SF,30,PHO,14,6,29.4,2.8,8.1,0.345,2.1,6.0,0.345,0.7,2.1,0.345,0.473,0.4,0.6,0.667,0.8,5.1,5.9,3.6,1.3,0.6,0.8,2.1,8.1,onealro01
474,376,Josh Okogie,SG,25,PHO,54,11,17.1,1.5,3.7,0.417,0.5,1.7,0.297,1.0,2.0,0.519,0.485,1.4,1.9,0.74,1.3,1.4,2.7,1.1,0.9,0.4,0.6,1.2,4.9,okogijo01
539,429,David Roddy,PF,22,PHO,9,0,4.3,0.8,1.6,0.5,0.1,0.8,0.143,0.7,0.8,0.857,0.536,0.1,0.1,1.0,0.1,0.3,0.4,0.0,0.0,0.0,0.3,0.2,1.8,roddyda01
640,512,Ish Wainright,SF,29,PHO,1,0,11.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,2.0,0.0,0.25,0.0,0.0,,3.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,wainris01
652,521,Yuta Watanabe,SF,29,PHO,29,0,13.2,1.2,3.3,0.361,0.8,2.6,0.32,0.4,0.8,0.5,0.485,0.3,0.5,0.667,0.4,1.2,1.6,0.3,0.3,0.2,0.6,1.2,3.6,watanyu01
693,552,Thaddeus Young,PF,35,PHO,3,0,10.7,1.3,2.3,0.571,0.0,0.0,,1.3,2.3,0.571,0.571,0.0,0.7,0.0,2.7,1.0,3.7,0.3,0.3,0.0,0.3,1.3,2.7,youngth01



