,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
23,7,New York Knicks,66,39,27,3168,116.6,112.2,4.4,58.3,1.78,17.5,33.4,73.3,52.9,13.9,53.5,57.0,96.28,51.4,"6,349"

,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
10,20,Sacramento Kings,65,38,27,3150,117.1,116.0,1.1,65.0,2.16,20.1,28.1,74.6,50.7,13.2,56.5,59.0,100.2,49.5,"6,573"

,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
2,1,Precious Achiuwa,PF,24,NYK,34,18,27.1,3.7,7.1,0.529,0.3,1.2,0.262,3.4,5.8,0.586,0.552,1.0,1.6,0.66,3.2,4.5,7.7,1.1,0.8,1.3,1.2,2.2,8.8,achiupr01
18,13,OG Anunoby,SF,26,NYK,16,16,35.3,5.8,11.2,0.514,1.8,4.6,0.384,4.0,6.6,0.604,0.592,2.1,2.5,0.825,1.1,3.8,4.9,1.6,1.8,0.9,1.5,2.4,15.3,anunoog01
19,14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,arcidry01
40,30,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.7,9.9,0.469,0.478,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,barrerj01
72,49,Bojan Bogdanović,SF,34,NYK,13,0,22.7,4.0,10.0,0.4,1.9,5.4,0.357,2.1,4.6,0.45,0.496,1.8,2.2,0.828,0.4,2.0,2.4,1.0,0.4,0.1,1.5,2.0,11.8,bogdabo02
94,67,Charlie Brown Jr.,SG,26,NYK,8,0,4.6,0.3,1.3,0.2,0.3,0.9,0.286,0.0,0.4,0.0,0.3,0.0,0.0,,0.1,0.1,0.3,0.0,0.0,0.3,0.3,0.6,0.8,brownch02
103,74,Jalen Brunson,PG,27,NYK,61,61,35.2,9.6,20.3,0.475,2.6,6.6,0.4,7.0,13.7,0.512,0.54,5.3,6.3,0.844,0.6,3.0,3.6,6.5,0.9,0.2,2.5,1.9,27.2,brunsja01
109,78,Alec Burks,SG,32,NYK,14,1,14.2,2.5,8.0,0.313,1.1,4.1,0.281,1.4,3.9,0.345,0.384,0.9,1.4,0.684,0.4,1.1,1.6,0.7,0.1,0.1,0.8,0.6,7.1,burksal01
161,124,Donte DiVincenzo,SG,27,NYK,65,47,26.8,5.0,11.6,0.437,3.2,8.1,0.399,1.8,3.5,0.524,0.576,1.0,1.3,0.75,0.8,2.7,3.5,2.6,1.3,0.4,1.4,2.0,14.3,divindo01
187,146,Malachi Flynn,PG,25,NYK,14,0,4.3,0.6,1.6,0.391,0.3,0.9,0.308,0.4,0.7,0.5,0.478,0.6,0.8,0.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2,flynnma01
195,150,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,0.2,0.7,5.0,0.133,0.7,1.7,0.4,0.25,0.7,0.7,1.0,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,fournev01
216,165,Taj Gibson,PF,38,NYK,16,1,10.3,0.4,1.4,0.304,0.0,0.4,0.0,0.4,1.1,0.412,0.304,0.1,0.1,1.0,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1.0,gibsota01
